"Discount name","Discount method","Discount type","Discount class","Applied discounts","Discounted orders","Gross sales","Returns","Net sales","Shipping charges","Taxes","Total sales"
"15% Wheel of fortune","manual","percentage",,-50685,200,296066.49,-3019.72,248363.73,0,35755.27,284119
"Cash deal + friends and family ","manual","percentage",,-64253,268,281086.06,-2827.13,221964.28,0,31796.52,253760.8
"Friends and family ","manual","percentage",,-10676,97,97473.02,0,87644.91,0,8758.29,96403.2
"Family discount","manual","percentage",,-25339.8,116,74513.35,0,52159.62,0,6966.58,59126.2
"30% Customer Discount ","manual","percentage",,-11469,41,33560.63,-477.83,23014.94,0,3196.56,26211.5
"OWNERS DISCOUNT - PIERRE/ANDRE/DAVID ONLY","manual","percentage",,-17874.5,28,31086.04,-578.26,14964.76,0,2244.74,17209.5
"AQ8XYAZJ","discount_code","fixed_amount","order",-100,1,5481.7,0,5394.78,0,809.22,6204
"Containers","manual","fixed_amount",,-2140,17,7754.25,0,5340.86,0,759.14,6100
"Strain of the Week 20%","automatic","percentage","product",-1444,13,6278.19,0,4903.65,0,735.55,5639.2
"KLYRX9L1","discount_code","percentage","order",-620,1,5391.26,0,4852.17,0,727.83,5580
"Happy Hour Discount-2026-01-15T22:00:00Z","automatic","percentage","order",-886.5,4,5139.01,0,4368.26,0,655.24,5023.5
"MOPWQDV6","discount_code","fixed_amount","order",-100,1,3782.58,0,3695.65,0,554.35,4250
"Happy hour Free coffee","automatic","percentage","product",-494,11,4394.34,0,3691.16,0,508.65,4199.81
"Happy Hour Discount-2026-01-23T22:00:00Z","automatic","percentage","order",-714,2,4139.06,0,3518.27,0,527.73,4046
"HighFlyers20","discount_code","percentage","order",-973,1,4230.42,0,3384.35,0,507.65,3892
"Happy Hour Discount-2026-01-08T22:00:00Z","automatic","percentage","order",-681.75,4,4095.61,0,3481.31,0,381.94,3863.25
"QGRG2DBS","discount_code","fixed_amount","order",-100,1,3276.51,0,3189.57,0,478.43,3668
"OJH8FKBL","discount_code","percentage","order",-392,1,3408.67,0,3067.83,0,460.17,3528
"FHZKSP2U","discount_code","percentage","order",-368,1,3200,0,2880,0,432,3312
"W7UOD1IK","discount_code","fixed_amount","order",-1,1,2556.49,0,2555.65,0,383.35,2939
