📦 Fetching products (status: draft, limit: 250)...

✅ Found 250 product(s):

ID              Title                                              Status     Type                
-----------------------------------------------------------------------------------------------
8950674522324   (Bronx) extra toppings                             draft                          
7859423576276   Acapulco Gold                                      draft      Flower              
8222697357524   Al Capone                                          draft      Flower              
8924293497044   Alaska                                             draft      Flower              
8707349250260   Alien Mints                                        draft      Flower              
8944913187028   Animal Tsunami - Rosin Moonstick                   draft      Joint               
7882871734484   Apple Rings Live Resin Vape Pen                    draft      Vape Pen            
8822549676244   Astro Grape - Rosin Moonstick                      draft      Flower              
8999728644308   Atomic Jelly                                       draft      Flower              
8932284694740   Avatar Joint                                       draft      Joints              
8858947256532   Baked Cheesecake                                   draft      Flower              
8033455734996   BHANG Bar - Banana OG (Liquid Diamond Live Resi... draft      Vape Pen            
8033453146324   BHANG Bar - Black Cherry Gelato (Liquid Diamond... draft      Vape Pen            
8033455145172   BHANG Bar - Frosted Apple Fritter (Liquid Diamo... draft      Vape Pen            
8222423580884   BHANG Bar - Grape Ape (Liquid Diamond Live Resi... draft      Vape Pen            
8222377836756   BHANG Bar - London Pound Cake (Liquid Diamond L... draft      Vape Pen            
8046059192532   BHANG Bar - Skunk Slushie (Liquid Diamond Live ... draft      Vape Pen            
8033453768916   BHANG Bar - Strawberry Cough Sundae (Liquid Dia... draft      Vape Pen            
8222456578260   BHANG Bar - Tropical Runtz (Liquid Diamond Live... draft      Vape Pen            
8102440337620   Big Green Buddha - Grape Gas                       draft      Rosin               
8102439747796   Big Green Buddha - Rainbow Markers                 draft      Rosin               
8102441025748   Big Green Buddha - Tropicana Cherry Cookies        draft      Rosin               
8708486332628   Black Tuna                                         draft      Flower              
8818364514516   Black Velvet                                       draft      Flowers             
8999728447700   Blackberry Moonshine                               draft      Flower              
8809339388116   Blade Runner                                       draft      Flowers             
7978370629844   Blazy Susan                                        draft      Rolling Paper       
8822549938388   Blissful blue - Rosin Moonstick                    draft      Joint               
8886746054868   Blockberry Joint                                   draft      Flowers             
8403070910676   Blood Bath                                         draft      Flower              
9002487840980   Blue Dream Joint                                   draft      Joint               
